pos_0,pos_1,pos_2,rot_0,rot_1,rot_2,velocity_0,velocity_1,velocity_2,angular_velocity_0,angular_velocity_1,angular_velocity_2,current_lap_time_msec,frame_count,course_v,steering,throttle,brake,slip_angle_0,slip_angle_1,slip_angle_2,slipangle_3,u_delta,u_a,X,Y,psi,vx,vy,dpsi,ey,epsi,s
369.848693,8.52998,505.148162,-0.010092,1.482295,-0.05552,30.282148,-0.027099,1.87,0.034066,-0.347126,0.010763,2366,142,2353.902099,0.058181,1.0,0.0,0.094122,0.061846,0.027442,0.052198,0.11111929570594628,0.9999999999677118,369.848693,505.148162,0.08850132679489664,30.328914676094545,-0.8138317172984217,0.347126,-1.67464478689256,0.19384039585738444,2349.6020989999997
371.870513,8.526903,505.301452,-0.00886,1.459428,-0.054192,30.305957,-0.061066,2.536794,0.040192,-0.325591,0.046956,2433,146,2355.898193,0.031312,1.0,0.0,0.061771,0.040419,0.027527,0.052407,0.059802247867984444,0.9999999999997655,371.870513,505.301452,0.11136832679489661,30.400145086897968,-0.8470727122498087,0.325591,-1.412278314112563,0.2187784044791921,2351.598193
373.894439,8.520179,505.493072,-0.007047,1.442076,-0.045878,30.350028,-0.134613,2.992932,0.045571,-0.160729,0.25402,2500,150,2357.891601,-0.058181,1.0,0.0,-0.019928,-0.051542,0.02689,0.051458,-0.11111929571008745,0.9999999999906392,373.894439,505.493072,0.12872032679489664,30.483129542270632,-0.9277148627435725,0.160729,-1.16929897835033,0.23795880223431387,2353.5916009999996
375.415863,8.511226,505.646942,-0.005299,1.442464,-0.028653,30.424346,-0.201123,3.110597,0.027879,0.08555,0.35352,2550,153,2359.388671,-0.058181,1.0,0.0,-0.006334,-0.035572,0.021871,0.0453,-0.11111929570985611,0.9999999999080262,375.415863,505.646942,0.1283323267948966,30.572252871339263,-0.8087011778235662,-0.08555,-1.0391030213652006,0.2387173839636195,2355.088671
376.941528,8.49976,505.804138,-0.004311,1.452837,-0.012,30.513549,-0.2377,3.143359,0.009852,0.262039,0.32575,2600,156,2360.888671,-0.058181,1.0,0.0,-0.012037,-0.039104,0.005201,0.02723,-0.11111929570997835,0.999999999923598,376.941528,505.804138,0.11795932679489662,30.67143536259018,-0.4695009869366653,-0.262039,-0.9844318576230631,0.22937048359026707,2356.588671
379.495483,8.480769,506.055816,-0.004101,1.483815,0.013838,30.687486,-0.209846,2.873541,0.001691,0.423225,0.307074,2683,161,2363.398437,-0.058181,1.0,0.0,-0.029881,-0.055387,-0.023896,-0.00311,-0.11111929571028159,0.9999999999964778,379.495483,506.055816,0.08698132679489645,30.821101588218436,0.1968038810489201,-0.423225,1.0885897728118636,0.1997285685865015,2359.0984369999996
381.548736,8.469178,506.226989,-0.004658,1.513959,0.033103,30.814033,-0.145984,2.347147,0.001753,0.462917,0.286371,2750,165,2365.416992,-0.058181,1.0,0.0,-0.043307,-0.069103,-0.04123,-0.020017,-0.11111929571030565,0.9999999999998243,381.548736,506.226989,0.0568373267948965,30.897608057726416,0.592912367738752,-0.462917,1.2919907957712904,0.17041322121289787,2361.1169919999998
383.609283,8.462862,506.35437,-0.005864,1.544813,0.049819,30.912296,-0.065153,1.629748,0.001972,0.457017,0.225118,2816,169,2367.445312,-0.058181,1.0,0.0,-0.052526,-0.079391,-0.051887,-0.029287,-0.11111929571029526,0.999999999995658,383.609283,506.35437,0.025983326794896566,30.944203137449417,0.8260839687257222,-0.457017,1.5268508552774178,0.14021301673063136,2363.1453119999996
385.675415,8.461661,506.429656,-0.007227,1.574192,0.061164,30.986347,0.006097,0.824386,0.003082,0.432215,0.133636,2883,173,2369.48291,-0.058181,1.0,0.0,-0.058601,-0.086721,-0.057301,-0.033124,-0.11111929571030524,0.9999999999998147,385.675415,506.429656,-0.0033956732051034777,30.9833690145681,0.9296005531981698,-0.432215,1.751538274485853,0.11130020401730728,2365.18291
387.745727,8.46357,506.450958,-0.008668,1.601647,0.066186,31.044996,0.044109,0.012287,0.005421,0.400058,0.05587,2950,177,2371.529052,-0.058181,1.0,0.0,-0.063143,-0.092292,-0.05978,-0.034625,-0.11111929571030417,0.9999999999994718,387.745727,506.450958,-0.030850673205103263,31.029844414264648,0.969888260014629,-0.400058,1.9469647369908405,0.0842989450061623,2367.2290519999997
